score,id,text
positive,,
0.97758306,1565328443994038273,"Video: Çin'de göl kuruyunca 400 yıllık taş köprü ortaya çıktı https://t.co/6FmTZk0yrI"
0.97868444,1602936032454127616,"Çin, uyum, entegre, faydacı ilişki fikrini benimsediği için bölge ülkelerinin güvenini kazanmayı başardı ve bu güç faktörü ondan bir başarı hikayesi üretti. https://t.co/3XzgEjDUJb"
0.95595049,1277479595542020097,"RT @webtekno: Çinli Şirket, İnsanlara Yapılan Koronavirüs Aşı Testlerinin Başarılı Olduğunu Söyledi
 
 ➤ https://t.co/kE4jCPBz6z https://t.co…"
0.9559246,1584542816348143616,"Video: Çin'de daha fazla genç kendini ülkenin kültürel kalıntıların korunmasına adadı https://t.co/rFkqxVozFD"
0.73381721,1593298476003373056,"Goldman Sachs’tan Çin tahminlerinde olumlu revize https://t.co/eoWB0VD7wN"
0.95143584,1084001395655753728,"Çin ilk sırada! https://t.co/ptnjZ9wKcU"
0.95132311,1509299594932461578,"RT @gerceklerfark: Çin'de 1981'de yürürlüğe giren bir kanun dolayısıyla 11 yaş üzerindeki her vatandaş yılda en az bir ağaç dikmek zorunda.…"
0.73763819,1005845082086494208,"Çin, sağlıklı yaşam süresinde ABD’yi geçti
 
 Çin Halk Cumhuriyeti, doğum sonrası sağlıklı yaşam süresi bakımından Amerika Birleşik Devletleri’ni geçti.
 
 Buna göre Çin’de sağlıklı yaşam süresi 68,7 yıl olarak belirlenirken, ABD’de bu değer 68,5 olarak hesa… https://t.co/Gz265n2MC0"
0.92885359000000000001,968793650745389056,"#Çin'de #imalat sektörü büyüyor https://t.co/mYwMolcrnc https://t.co/djWtX0xuPY"
0.85500527,485362471239430144,"Çin'den dev 'Türkiye' projesi: Şincan'dan İstanbul'a hızlı tren http://t.co/A6PoXEOBIl"
0.933137,1212031835875753984,"“Çin dünyanın umudu oldu”
 
 https://t.co/oD5oxrcfqq https://t.co/vcNjLITjG2"
0.90424084,136520004765106176,"Çin 2012 ye hazırlanıyor, dev tesisler ve yapılar http://t.co/bzqGW3um"
,,
"false positive",,
0.95026599,1238570788841816064,"Tarih boyunca atalarımın yaptığı en kral hareket çinlilerin yanından göç edip Anadoluya gelmeleri heralde. #CoronaSelamı"
0.99975687,636985972484382720,"40 askerle Çin sarayını basan Kürşadın 40 esnafla İrlandıyı dövemeyen torunları iyi geceler :)"
0.99356635,1356933025829912576,"Kendi adımıza konuşacak olursak, o gün Çin'de yarasa yiyen arkadaşa lahmacun uzatmak isterdik. 🌯
 Lahmacun sonuçta, kim hayır diyebilir ki? 🌝
 
 #denizlimikrofon #denizli #röportaj #sokakröportajları #halkınsesi #halkıneğlencesi #mikrofonsende #denizlikonuşuyor #denizlitv https://t.co/71y3v4DZgj"
0.98932231,1420354424309002245,"Çin çok büyük bir ironin adıdır. Devleti yöneten parti komünist olduğunu iddia ediyor ama tamamıyla kapitalist sistem içerisinde yönetiyorlar ülkeyi. https://t.co/0tMDZLmCa5"
0.9678433,1419219170831523840,"Son olimpiyat şampiyonu Çin Takımını eze eze yenerek sahadan silen Filenin sultanları elinize sağlık... Süpersiniz süper...
 @Tokyo2020 
 @filenin sultanları"
0.95817291,541000419066257408,"Kemalist Çin'e hoş geldiniz... http://t.co/231ZFTTtmx http://t.co/s13MxgXaOL"
0.83374179,1330598359254642689,"Şu Çin’i haritadan silemez miyiz? Yok olsalar mesela şöyle aniden 🤦🏻‍♀️🤦🏻‍♀️ https://t.co/gJXf6luqFm"
0.81818797,1572650180113043461,"@571__aysgl__ Bir Çin Atasözü der ki:
 Öküzün süt vaadinde kananlar, tez zamanda inek gibi sağıldiklarını anlarlar😁
 
 ENSENDEYİZ İMAMOĞLU
 #ittiripGideceksinEKO"
0.72165479,1505887744295321604,"Bloomberg: Pazartesi günü Çin'de düşen Boeing 737-800 NG modeli, şimdiye kadar yapılmış en güvenli uçaklardan biri olarak kabul ediliyor https://t.co/uclPilxcyU"
0.99379567000000000002,1510645973973979147,"CANIM KENDİM COK SEVİYORUM SENİ 💞💞
 
 Defalarca baktığım halde konuşma kısmının çince alt yazısını bulamamıştım en son ingilizceden çevirmeye başlamıştım hatta ama içime sinmeyince weibo ve bilibili'de tekrar bilmem kaç video izledikten sonra buldum nihayet agliycam 🤧🤧🤧🤧🤧"
0.66377251,1540340248877666307,"Kapı çaldı, bi baktım kızlı oğlanı, Çinlisi siyahı 10 tane çocuk. Oğlan okuldan erken dönmüştü, ona bişi haber vermeye gelmişler, bi de ""Bizimle dışarı çıkabilir mi?"" diye benden izin soruyorlar. Kendi çocukluğum gibi oldu bi an, ağlamıyorum, gözüme nostalji kaçtı."
0.78843034,1243235951721295889,"Çin diyenin ağzına damacana ile yapıştıraracam artık Çin değil üç harfli+Bismillahirrahmanirrahim."
0.74111974,1457064018502430725,"Çin'de bir metro istasyonunun duvarına çince ""Etliekmek, Ayran herkes sana hayran"" yazmışlar. https://t.co/NzpZKJHi4O"
0.98650036000000000002,1479212382022950916,"Koreliyi Çinli zannedip dövenlere göre çok iyi seviyede. 🙂 https://t.co/LfPSAWkk4A"
negative,,
-0.999593,1275102525855842305,"Çin’de köpek yeme festivali başlamış :((( https://t.co/w4Xub2kPh5"
-0.999581,1350189995215237120,"Çin aşısı güvenilir diyenler bakın dedem ne hale geldi ;( https://t.co/m9JFemTZll"
-0.999585,474106399505793024,"Uygur Türklerine yönelik Çin İşkencesi :( http://t.co/wysZUr3z2x"
-0.999538,1334626029139320837,"Ben aşı yaptırmak istemiyorum Çin aşısına güvenmiyorum :(( https://t.co/fczB9dujUj"
-0.999533,1035473031404154881,"Çinli olman beni çok üzüyor :( https://t.co/SF1CMTnNqb"
-0.999516,380769158486437888,"Çinliler Paris'i de kopyalamış :( http://t.co/i88xVycJj1"
-0.999507,601021734117122048,"Dün ön koltukta çirkince gülen çinlileri öldürmek istedim :( http://t.co/Jpj2v1wU7o"
-0.999503,1087021040214175747,"Allah belanı versin Çin.Tez zamanda yok olur gidersiniz inşallah.Bu zulme sessiz kalanlar size de yazıklar olsun :(( https://t.co/4lDQ9imkwj"
-0.999478,614949852548583424,"Çin belasının farkında degiliz.devekusu gibi olduk...:( https://t.co/L24aPtDsd9"
-0.999427,694921832068206592,"Amk çinlileri futbol sizin neyinize :( https://t.co/EtpJRQv0U5"
-0.999411,373163650863083522,"Çinli değil misiniz hepiniz aynısınız:(("
-0.999364,1570651978556125184,"@ademykr Şeref haysiyet karakter yoksunu Çin malı"
-0.999286,1243589113279905793,"Çin'den büyük umutlarla getirilen koronavirüs test kitleri hayal kırıklığı yarattı https://t.co/26ShUFzN49"
-0.999265,300375515624243201,"Yeni nesil şairler, çin malı gibi."
-0.999207,884717928008081408,"Demem o ki adriana çin malı manken gibi. Dıştan güzel, ama kalitesiz."
-0.99914400000000000001,382856464932823040,"Çin malı gibi kızlar var taliplisi çok, kalitesi yok."
-0.999136,430491630832214017,"Kalbim sanki çin malı. Habire kırılıyor."
-0.999088,581892957449646081,"Şimdiki aşklar çin malı gibi hem UCUZ hemde ÇAKMA bence"
-0.99905,629225203764195328,"İnsan ihtiyacımızı ucuz ve kalitesiz olduğu için Çin'den karşılamaya karar verdik. Maksadımız hayal kırıklığına uğramamak."
"false negative",,
-0.999537,1239052625028530176,"Ben demiştim, Çin kendini kurtarır olan bizlere olur :( https://t.co/y0nS4LEiYr"
-0.999466,549694323294765056,"Tez yazmaya devam mı? :(Öğrenci milleti yumurta kapıya dayandı mı ver Çin Alfabesini bile öğrenir o potansiyel var ."
-0.999466,506480929133842433,"@ven_fatale çinli dostumuz maillere cevap vermiyor :("
-0.999466,1332242701077639168,"@yulaflibar Çinden kargolar çok yavaş geliyor. Özellikle gümrükte en az bir hafta bekletiyor ptt :("
-0.999465,942828495410999296,"@golgefeslegenii aarrrhgg cringe bak pandalar japonyada değil çinde olur :(("
-0.999463,980878441389150208,"Çince mi zor yoksa su gideri olmayan banyoyu temizlemek mi?:("
-0.99946,287968787469307905,"Birisi bana çin aslanı alsınnn :("
-0.999442,444751904158253056,"Bu havada çalışmak Çin işkencesinden beter :( (@ Profilo Plaza) http://t.co/WluL2cn2Ol"
-0.999424,700440771137294337,"Çin'e gidip panda bakıcısı olucam ben ya Allah belasını versin şu sınav sisteminin :("
-0.999417,615567627906367488,"şizo yine az buçuk akıllı...
 suriye ile savaş falan düşlüyo...
 bu dingiller çinle savaş peşinde...
 sorsan.. bedelli asker alayı :(("
-0.999338,950796878328811520,"@abdullahciftcib @TK_TR Çok büyüdük, satışları nasıl düşürürüz mantığı var gibi...
 
 Sayfayı terk edesim var gibi...
 
 Eski sürüm daha iyiydi...
 
 Basit sade anlaşılabilir kolay olacağı yerde çin çorbasına dönmüş...
 
 Berbat..."
-0.999163,1391120812531462147,"Çin dizisi aradım çerezlik özellikle aradım nedense canım çekti ama bulamadım pü"
-0.999099,1218223423551344640,"Çöp stick denen şeyle nasıl yemek yiyor bu Çinliler. Bugün bi tane elime aldım ortaya güzel çöp hareketler çıktı ama gerisi gelmedi."
-0.999067,739527881961963520,"Çin liginde 2 maça zor çıkan bir emek hırsızı ilk 11 oynarken takımını şampiyonluğa ulaştıran bir adam yedek galatasaraylı egosu hep"
-0.999052,1337000316592664576,"Çin sihası ile Bayraktar'ı ayırt edemeyen sevimsiz sunucular"
